Wall time,Step,Value
1642677632.5745826,12592,-30.409502029418945
1642677659.8791296,12633,6.103198051452637
1642677682.8494723,12663,-28.15068244934082
1642677762.4809208,12797,254.7332763671875
1642677774.6124823,12806,-86.23052978515625
1642677803.8552167,12847,13.13465404510498
1642677819.0214746,12863,-58.771812438964844
1642677853.8881826,12916,43.367919921875
1642677894.718835,12978,71.86274719238281
1642677928.5590916,13029,54.41875076293945
1642677942.2609167,13041,-69.86874389648438
1642677978.9479876,13096,38.69358444213867
1642678007.6645842,13137,13.770212173461914
1642678028.0839293,13162,-26.970401763916016
1642678099.1821353,13284,257.7838134765625
1642678111.8949199,13294,-76.05511474609375
1642678175.3005857,13403,237.34890747070312
1642678211.8949246,13457,22.794414520263672
1642678233.711236,13485,-24.322959899902344
1642678242.16408,13487,-103.43089294433594
1642678271.4489844,13529,15.135560035705566
1642678289.0629358,13549,-55.672874450683594
1642678315.3623214,13582,-22.398860931396484
1642678335.6493442,13604,-67.49900817871094
1642678352.0438426,13622,-50.4658203125
1642678395.819215,13690,83.17771911621094
1642678443.4501352,13763,85.4621353149414
1642678463.2083485,13786,-57.31153106689453
1642678483.0982926,13812,-13.850018501281738
1642678536.6765685,13898,133.58106994628906
1642678621.47201,14037,252.74183654785156
1642678643.5487154,14066,-19.047975540161133
1642678663.7648032,14089,-45.91008758544922
1642678685.4133906,14116,-31.85558319091797
1642678698.716576,14128,-70.9509506225586
1642678711.414038,14139,-75.3544692993164
1642678737.7852995,14177,16.849292755126953
1642678750.7294524,14186,-88.20048522949219
1642678777.683928,14220,-25.67066192626953
1642678809.1832712,14267,32.82642364501953
1642678841.2659883,14313,14.681385040283203
1642678913.2246451,14435,242.5347137451172
1642678932.1401494,14458,-35.52167892456055
1642678962.8214104,14502,11.513713836669922
1642678995.740093,14552,50.863956451416016
1642679026.1540852,14597,32.62513732910156
1642679059.5182133,14646,42.24672317504883
1642679074.940959,14662,-57.5574836730957
1642679101.8997004,14699,-7.812116622924805
1642679110.4060245,14701,-103.53723907470703
1642679152.1241982,14766,79.50837707519531
1642679195.5612135,14834,105.37355041503906
1642679220.1045473,14867,-18.975109100341797
1642679247.331157,14904,-6.3894782066345215
1642679260.3400576,14915,-72.88725280761719
1642679276.8242233,14934,-46.59797668457031
1642679301.8177466,14968,-2.6407289505004883
1642679326.521732,14999,-21.699520111083984
1642679367.5054178,15064,85.7614974975586
1642679387.7763467,15088,-44.45344161987305
