Wall time,Step,Value
1642649238.456626,22688,26.675146102905273
1642649273.9025228,22748,59.455753326416016
1642649412.6080027,22988,203.71554565429688
1642649424.467893,22998,-77.30760955810547
1642649478.5817409,23094,159.16287231445312
1642649514.1846259,23141,-26.766742706298828
1642649551.992768,23200,23.800952911376953
1642649603.8004935,23271,-73.32347106933594
1642649623.6004474,23298,-39.37068176269531
1642649634.548465,23306,-79.93450164794922
1642649685.9663599,23395,96.50421142578125
1642649718.795199,23450,52.601173400878906
1642649742.4946847,23483,-11.347264289855957
1642649827.0356264,23613,-53.997066497802734
1642649838.9398577,23623,-81.8458480834961
1642649850.3066332,23632,-89.25399780273438
1642649992.813844,23856,154.448486328125
1642650012.546463,23882,-42.313026428222656
1642650046.0509715,23923,-52.16333770751953
1642650059.0935044,23936,-66.63260650634766
1642650084.606076,23974,-1.6258244514465332
1642650105.7083418,24002,-51.74850845336914
1642650126.0141423,24015,-80.71946716308594
1642650155.7194061,24048,-36.53410720825195
1642650174.8655155,24075,-28.411693572998047
1642650190.4603188,24095,-33.94751739501953
1642650225.572291,24139,-4.645978927612305
1642650240.6659415,24157,-49.2485466003418
1642650253.1467457,24168,-81.936279296875
1642650267.5497122,24182,-79.19873046875
1642650287.383869,24208,-28.483510971069336
1642650336.178266,24291,85.26446533203125
1642650365.4327238,24337,12.958144187927246
1642650389.8030186,24373,-3.220604419708252
1642650453.8423429,24458,-74.072509765625
1642650467.1132286,24471,-74.39550018310547
1642650513.010138,24538,30.195627212524414
1642650605.0801718,24701,235.59176635742188
1642650617.8666477,24712,-81.62380981445312
1642650638.5789113,24742,-6.937228679656982
1642650690.5418398,24836,175.44293212890625
1642650760.9106627,24951,91.44990539550781
1642650780.0376728,24976,-32.864715576171875
1642650792.320967,24987,-68.14382934570312
1642650804.623588,24998,-72.629150390625
1642650858.1567237,25094,159.07745361328125
1642650888.9584794,25139,3.7032198905944824
1642650933.4415114,25217,119.01333618164062
1642650954.92171,25247,-25.165117263793945
1642651008.0453386,25313,-58.69601821899414
1642651052.4885612,25389,104.81864166259766
1642651107.6614258,25475,-50.58514404296875
1642651127.1747112,25501,-32.3994026184082
1642651182.4037325,25599,147.3860626220703
1642651201.8993797,25624,-49.14025115966797
1642651300.4394376,25799,51.62675476074219
1642651355.3218474,25882,18.2675724029541
1642651376.1741848,25912,-10.571598052978516
1642651398.6493545,25943,-21.704967498779297
1642651423.7606678,25981,6.541293144226074
1642651434.3500404,25988,-94.1331787109375
1642651454.1439006,26012,-50.31498718261719
1642651472.0980847,26034,-51.80864715576172
1642651491.739359,26063,-12.633370399475098
1642651547.6304698,26153,87.55039978027344
1642651576.6676707,26198,21.127685546875
1642651615.7742052,26263,28.394142150878906
1642651647.963117,26299,-63.484222412109375
1642651677.62464,26332,-56.38233947753906
1642651694.9554174,26354,-36.313201904296875
1642651716.5839972,26383,-14.192152976989746
1642651729.332851,26395,-73.62582397460938
1642651741.3704872,26405,-83.06673431396484
1642651751.9730003,26412,-90.2020263671875
1642651775.3687046,26432,-85.64276885986328
1642651800.2407615,26469,-5.959777355194092
1642651814.5679624,26485,-52.17941665649414
1642651853.0513315,26535,21.889554977416992
1642651873.3856678,26564,-22.609468460083008
1642651896.6477485,26584,-75.1754379272461
1642651980.8641822,26718,256.12518310546875
1642652034.1185582,26795,-8.147126197814941
1642652086.454443,26888,153.9145050048828
1642652105.3997412,26912,-25.318649291992188
1642652176.2125773,27013,-95.47116088867188
1642652188.694335,27025,-70.37061309814453
1642652214.0329752,27050,-80.90509796142578
1642652253.764933,27114,59.69404983520508
1642652317.7863734,27208,27.536834716796875
1642652329.727921,27218,-81.23709869384766
1642652362.0761676,27273,71.60981750488281
1642652442.030187,27406,-30.453304290771484
1642652450.9036164,27410,-95.56228637695312
1642652487.950929,27442,-71.35963439941406
1642652505.1210237,27462,-54.041038513183594
1642652536.5606368,27499,-70.06809997558594
1642652556.2897282,27522,-51.35210418701172
1642652568.3459382,27532,-77.65584564208984
1642652579.1772711,27540,-87.39937591552734
1642652641.1845183,27637,-47.93220901489258
1642652650.4659846,27642,-89.81193542480469
1642652673.999082,27678,-0.03291565179824829
1642652692.360729,27700,-38.610355377197266
1642652735.2898743,27760,-96.81196594238281
1642652779.1633787,27822,-36.08467102050781
1642652827.771402,27894,-36.91911697387695
1642652895.4868815,28020,261.80389404296875
1642652919.326543,28055,-13.888943672180176
1642652941.1389134,28087,-8.125723838806152
1642652974.1994898,28139,40.31919479370117
1642653049.935574,28236,-75.85799407958984
1642653061.965835,28247,-67.04405975341797
1642653092.368533,28296,21.649974822998047
1642653107.745096,28313,-52.90908432006836
1642653187.1570098,28433,-6.295292854309082
1642653214.5425994,28477,24.994342803955078
1642653224.9525564,28484,-84.94659423828125
1642653238.190142,28496,-65.82856750488281
1642653248.98987,28505,-75.38764953613281
1642653275.9528894,28549,37.310752868652344
1642653304.4843504,28590,-27.58754539489746
1642653323.0812867,28613,-50.04515838623047
1642653337.4226818,28629,-55.98305892944336
1642653363.2353368,28665,-14.412958145141602
1642653405.1759052,28725,-35.06010055541992
1642653437.6662471,28777,27.819713592529297
1642653462.6720653,28814,-7.940444469451904
1642653509.639958,28886,0.15139222145080566
1642653535.3532774,28925,13.917886734008789
1642653566.0083244,28976,52.849002838134766
1642653574.9577756,28980,-95.5734634399414
1642653599.4607534,29001,-83.35578918457031
1642653656.2896748,29100,160.11074829101562
1642653680.6310654,29135,-11.190872192382812
1642653752.7915537,29258,54.580806732177734
1642653766.5689456,29272,-68.22109985351562
1642653797.9997633,29307,-67.71356201171875
1642653826.8688886,29353,36.928401947021484
1642653924.5145133,29488,-32.95283508300781
1642653934.603477,29494,-93.03881072998047
1642654017.7671905,29635,-7.343103408813477
1642654033.3755794,29653,-56.985748291015625
1642654043.8084192,29660,-95.31063842773438
1642654063.567552,29683,-40.836917877197266
1642654092.5837924,29733,70.66585540771484
1642654109.74019,29754,-47.05583190917969
1642654120.8300369,29763,-80.01331329345703
1642654187.241291,29863,40.09939956665039
1642654202.5195775,29878,-78.0198974609375
1642654217.1066606,29893,-80.34590911865234
1642654233.3830218,29913,-45.22301483154297
1642654299.5034175,30020,129.7293243408203
1642654314.9908469,30035,-66.71160125732422
1642654365.2690861,30127,160.6032257080078
1642654389.0146863,30159,-39.990699768066406
1642654415.0613747,30198,-0.8883284330368042
1642654450.866501,30254,44.225120544433594
1642654598.6148462,30469,2.300447940826416
